File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,PRE_BUG,POST_BUG
src/main/org/apache/tools/ant/util/regexp/JakartaRegexpRegexp.java,3,0,0,5,16,3,0,5,2,2,95,0,0,0,0.666666667,0,0,30.66666667,1.333333333,2,33,15,56,49,896,631.5,6,89,61,21.71,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/ClassPathLoader.java,8,1,0,8,43,16,4,5,6,0.785714286,208,0.5,1,0,0.238095238,0,0,24.75,1.25,2,37,16,61,49,896,465,8,98,61,21.71,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/metamata/MMetricsStreamHandler.java,12,1,0,7,56,42,1,6,5,0.909090909,435,1,2,0,0.303030303,0,0,34.41666667,1.833333333,8,20,12,56,49,896,620.16,6,76,61,22,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/TypeAdapter.java,5,1,0,7,5,10,6,1,5,2,5,0,0,0,0.4,0,0,0,1,1,134,99,69,49,896,407.11,9,203,99,25,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Submit.java,3,0,0,4,10,1,1,4,3,0.5,37,0,0,0,0.666666667,0,0,11,1,1,76,32,67,49,896,450,8,143,61,22.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/Utils.java,22,1,0,6,41,231,3,3,21,1.047619048,517,0,0,0,0.227272727,0,0,21.90909091,2.909090909,9,109,89,132,75,896,530.71,7,241,164,36.85,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTLoggerAware.java,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,21,12,53,49,886,664.75,4,74,61,-6.71,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ide/VAJAntTool.java,4,1,0,7,26,6,1,7,4,1.333333333,125,1,0,0,0.25,0,0,30,1.75,3,18,12,56,49,896,594.5,6,74,61,22.42,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Base.java,15,3,15,32,41,57,21,12,13,0.818181818,319,1,0,0.725490196,0.45,0,0,19.53333333,1.2,4,115,52,66,49,896,510.71,7,181,62,22.42,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/GUnzip.java,3,4,0,4,21,3,0,4,1,1.5,144,1,0,0.960784314,1,2,3,46.66666667,3.666666667,9,36,12,80,49,896,541.14,7,116,61,21.71,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/Move.java,7,4,0,10,50,21,1,9,1,2,686,0,0,0.93258427,0.714285714,4,4,97,5.571428571,21,356,120,298,77,896,247.47,17,654,189,30.42,6,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/condition/Equals.java,6,1,0,3,11,1,1,2,6,0.7,74,1,0,0,0.555555556,0,0,10.66666667,1,1,38,20,62,49,896,490.87,8,100,61,21.71,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ccm/CCMCheckin.java,1,0,0,2,9,0,0,2,1,2,19,0,0,0,1,0,0,18,1,1,18,12,53,49,896,713.8,5,71,61,23.57,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/FixCRLF.java,18,4,0,12,84,83,1,12,11,0.960151803,1202,1,1,0.821052632,0.181818182,2,2,64.05555556,2.111111111,8,211,76,653,493,896,184.75,24,864,569,36.85,7,FALSE,TRUE,TRUE
src/main/org/apache/tools/ant/taskdefs/Recorder.java,9,3,0,9,34,10,0,9,7,0.729166667,214,1,0,0.840909091,0.3125,1,1,22.11111111,1.666666667,6,160,99,89,49,896,356.8,10,249,101,-6.71,3,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/filters/TokenFilter.java,19,4,0,18,40,23,6,16,19,0.688888889,386,1,1,0.604651163,0.119298246,2,4,19.05263158,1.842105263,11,1313,918,419,154,896,195.63,19,1732,918,35.42,6,TRUE,TRUE,TRUE
src/main/org/apache/tools/ant/taskdefs/optional/ejb/EJBDeploymentTool.java,4,1,0,5,4,6,2,3,4,2,4,0,0,0,0.4,0,0,0,1,1,20,12,57,49,886,668.25,4,77,61,22,2,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Add.java,6,0,0,10,28,0,0,10,5,0.76,198,1,0,0,0.416666667,0,0,31.16666667,1,1,51,25,76,49,896,513.14,7,127,61,36.85,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sos/SOSCheckout.java,4,0,0,3,14,6,0,3,3,2,68,0,0,0,0.5,0,0,16,1.25,2,21,12,136,81,896,601.66,6,157,87,34.85,4,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/extension/resolvers/LocationResolver.java,4,1,0,5,10,0,1,4,4,0.333333333,40,1,0,0,0.4375,0,0,8.75,1,1,48,22,81,49,896,496.75,8,129,61,22,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/compilers/Gcj.java,3,2,0,9,28,3,1,8,2,2,155,0,0,0.92,1,1,1,50.66666667,4.333333333,11,73,32,76,49,896,300.3,13,149,61,31,4,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/CovReport.java,15,0,0,15,55,35,1,15,12,0.764285714,455,1,3,0,0.183333333,0,0,28.66666667,1.733333333,9,78,45,83,49,896,375.7,10,161,61,37.14,5,TRUE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/TempFile.java,6,3,0,5,15,1,0,5,6,0.7,75,1,0,0.880952381,0.555555556,0,0,10.83333333,1,1,71,46,108,49,896,461.12,8,179,92,23.85,5,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/extension/ExtensionUtil.java,7,1,0,13,43,21,4,9,0,2,269,0,0,0,0.30952381,0,0,37.42857143,2.142857143,9,106,62,154,78,896,367.4,10,260,140,23.14,5,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/taskdefs/optional/dotnet/VisualBasicCompile.java,26,0,0,5,41,233,0,5,19,0.8,271,1,0,0,0.261538462,0,0,9.192307692,1.423076923,3,69,41,70,49,896,369,10,139,61,22,5,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/junit/BriefJUnitResultFormatter.java,13,1,0,6,41,62,0,6,11,0.845238095,296,1,0,0,0.32967033,0,0,21.23076923,1.153846154,2,55,23,64,49,896,460.37,8,119,61,21.71,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/Diagnostics.java,17,1,0,4,58,130,1,4,5,0.921875,630,0.25,0,0,0.129411765,0,0,35.82352941,2.176470588,4,259,66,188,49,896,172.45,22,447,94,35.42,6,TRUE,FALSE,TRUE
src/main/org/apache/tools/ant/types/optional/image/TransformOperation.java,3,0,3,8,5,3,7,2,3,2,12,0,0,0,0.555555556,0,0,3,1,1,20,12,61,49,896,464.87,8,81,61,34.85,5,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/condition/Contains.java,5,1,0,3,9,0,1,2,5,0.666666667,64,1,0,0,0.533333333,0,0,11.2,1,1,33,14,70,49,896,556.71,7,103,61,21.71,4,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/XSLTProcess.java,30,4,0,20,93,317,2,19,23,0.912972085,949,1,5,0.728971963,0.238095238,3,4,29.93333333,1.133333333,3,288,63,189,49,896,142.71,32,477,69,34.85,9,TRUE,TRUE,TRUE
src/main/org/apache/tools/ant/ExitException.java,3,5,0,3,8,0,3,0,3,0,28,1,0,0.954545455,0.666666667,0,0,8,1,1,31,13,58,49,896,514.14,7,89,61,23.57,3,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/util/Watchdog.java,7,1,0,3,22,0,3,1,6,0.555555556,112,1,0,0,0.476190476,0,0,14.57142857,1.714285714,4,52,29,63,49,896,358,10,115,61,22.28,6,FALSE,FALSE,TRUE
src/main/org/apache/tools/ant/util/depend/bcel/FullAnalyzer.java,3,0,0,6,31,3,0,6,1,2,189,0,0,0,0.666666667,0,0,62,4.666666667,12,22,12,55,49,896,650.83,6,77,61,21.71,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/ssh/ScpToMessage.java,10,0,0,6,41,11,1,5,5,0.694444444,350,1,0,0,0.3125,0,0,33.6,1,1,111,48,97,49,886,308.88,9,208,75,23.14,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/CovBase.java,9,3,3,7,19,0,4,3,2,0.65625,157,1,1,0.840909091,0.458333333,0,0,16,1.888888889,5,197,100,68,49,896,354.54,11,265,100,37.14,5,TRUE,FALSE,FALSE
src/main/org/apache/tools/ant/util/FlatFileNameMapper.java,4,1,0,2,7,6,1,1,4,2,20,0,0,0,0.875,0,0,4,1,1,24,12,56,49,896,632.33,6,80,61,21.71,3,FALSE,FALSE,FALSE
src/main/org/apache/tools/ant/util/DOMElementWriter.java,8,1,0,5,42,24,5,0,7,0.714285714,485,1,0,0,0.346938776,0,0,59.375,4.25,11,183,77,147,52,896,318.58,12,330,129,36.85,5,TRUE,TRUE,FALSE
src/main/org/apache/tools/ant/taskdefs/Javac.java,75,4,0,28,121,2541,12,18,68,0.96476834,918,1,6,0.513157895,0.205714286,1,1,10.86666667,1.533333333,8,204,120,111,49,896,264.66,15,315,136,31,5,FALSE,TRUE,FALSE
src/main/org/apache/tools/ant/NoBannerLogger.java,4,2,0,4,16,0,0,4,4,0.333333333,59,1,0,0.857142857,0.875,1,1,13.5,2,5,23,12,61,49,896,729.2,5,84,61,23.57,3,FALSE,FALSE,FALSE
